CÓDIGO;NOME DA UNIDADE;HELIDECK;;SITUAÇÃO;PORTARIA;Última atualização 13/01/2021
;;Resistência do piso (kg);Comprimento máximo do maior helicóptero a operar (m);;;VALIDADE
9PJD;TOP ESTRELA DO MAR;12.800;22,20;PORTARIA VÁLIDA;1119/SIA, de 09/04/2018;16/01/2021
9PYU;HAI YANG SHI YOU 720;12.800;19,50;PORTARIA VÁLIDA;3701/SIA, de 14/12/2020;30/01/2021
9PZA;PETROBRAS 25 P-25;12.800;22,28;PORTARIA VÁLIDA;1622/SIA, de 24/05/18;01/02/2021
9PHE;CARMEN KNUTSEN;12.800;20,88;PORTARIA VÁLIDA;1662/SIA, de 29/05/18;05/02/2021
9PTF;PETROBRAS 74 P-74;12.800;22,20;PORTARIA VÁLIDA;1900/SIA, de 19/06/2018;07/02/2021
9PCI;FPSO CIDADE DO RIO DE JANEIRO MV 14;9.300;19,50;PORTARIA VÁLIDA;1649/SIA, de 28/05/18;20/02/2021
9PBH;SSV VICTORIA;12.800;22,20;PORTARIA VÁLIDA;2041/SIA, de 29/06/2018;21/02/2021
9PGF;ODN I;13.000;22,20;PORTARIA VÁLIDA;1668/SIA, de 29/05/18;21/02/2021
9PRX;PETROBRAS 67 P-67;12.800;22,20;PORTARIA VÁLIDA;1126/SIA, de 09/04/2018;26/02/2021
9PBF;SKANDI SANTOS;12.800;20,88;PORTARIA VÁLIDA;1123/SIA, de 09/04/2018;27/02/2021
9PDU;AKER WAYFARER;12.800;20,88;PORTARIA VÁLIDA;3200/SIA, de 09/11/2020;28/02/2021
9PTU;WEST TELLUS;12.800;24,00;PORTARIA VÁLIDA;1667/SIA, de 29/05/18;11/03/2021
9PAA;FPSO CIDADE DE SANTOS MV20;12.800;22,20;PORTARIA VÁLIDA;3034/SIA, de 01/10/2018;12/03/2021
9PSS;PETROBRAS IX (P-09);5.500;19,50;PORTARIA VÁLIDA;1150/SIA, de 15/04/19;14/03/2021
9PWS;WEST SATURN;13.000;23,00;PORTARIA VÁLIDA;1117/SIA, de 09/04/2018;16/03/2021
9PFI;ETESCO TAKATSUGU J;12.800;22,20;PORTARIA VÁLIDA;1626/SIA, de 25/05/18;28/03/2021
9PFE;ODN DELBA III;12.800;22,20;PORTARIA VÁLIDA;1764/SIA, de 07/06/2018;31/03/2021
9PKA;WEST CARINA;13.000;22,20;PORTARIA VÁLIDA;1788/SIA, de 11/06/2018;02/04/2021
9PBI;PEREGRINO B;7.000;17,27;PORTARIA VÁLIDA;1660/SIA, de 29/05/18;05/04/2021
9POU;POLVO A;5.300;16,00;PORTARIA VÁLIDA;3033/SIA, de 01/10/2018;10/04/2021
9PIW;TOISA VALIANT;8.600;18,70;PORTARIA VÁLIDA;3040/SIA, de 01/10/2018;17/04/2021
9PGB;PLATAFORMA CENTRAL DE GAROUPA (PGP-1);12.800;20,88;PORTARIA VÁLIDA;3042/SIA, de 01/10/2018;20/04/2021
9PVT;SSV CATARINA;12.800;22,20;PORTARIA VÁLIDA;2272/SIA, de 20/07/2018;25/04/2021
9POD;OOS TIRADENTES;14.600;22,80;PORTARIA VÁLIDA;3358/SIA, de 30/10/2018;08/05/2021
9PBT;PEREGRINO A;7.000;17,27;PORTARIA VÁLIDA;1787/SIA, de 11/06/2018;10/05/2021
9PME;PLATAFORMA DE MEXILHÃO - PMXL-1;9.300;22,20;PORTARIA VÁLIDA;4023/SIA, de 27/12/2018;15/05/2021
9PFX;SEVAN BRASIL - SS-86;15.600;22,80;PORTARIA VÁLIDA;2274/SIA, de 20/07/2018;16/05/2021
9PBS;OCEAN COURAGE - SS-75;14.600;22,80;PORTARIA VÁLIDA;1786/SIA, de 11/06/2018;16/05/2021
9PPY;NAMORADO II;12.800;19,50;PORTARIA VÁLIDA;3038/SIA, de 01/10/2018;23/05/2021
9PKE;SKANDI RECIFE;12.800;20,88;PORTARIA VÁLIDA;3041/SIA, de 01/10/2018;28/05/2021
9PGE;PIRANEMA SPIRIT;9.300;18,00;PORTARIA VÁLIDA;0455/SIA, de 11/02/2019;07/06/2021
9PGG;ODN II;13.000;22,20;PORTARIA VÁLIDA;2273/SIA, de 20/07/2018;21/06/2021
9PJN;FPSO CIDADE DE ITAGUAÍ MV 26;12.800;22,20;PORTARIA VÁLIDA;4038/SIA, de 28/12/2018;24/06/2021
9PBX;OCEAN VALOR SS-77;14.600;22,80;PORTARIA VÁLIDA;2995/SIA, de 26/09/2018;25/06/2021
9PUM;PLATAFORMA DE REBOMBEIO AUTÔNOMA PRA-1;12.900;22,20;PORTARIA VÁLIDA;3701/SIA, de 04/12/2018;26/06/2021
9PFC;PETROBRAS 37 P-37;12.800;20,88;PORTARIA VÁLIDA;3469/SIA, de 08/11/2018;04/07/2021
9PML;PLATAFORMA DE MERLUZA 1 (PMLZ-1);12.800;17,40;PORTARIA VÁLIDA;3472/SIA, de 08/11/2018;04/07/2021
9PJO;BRAVA STAR;13.000;25,30;PORTARIA VÁLIDA;3467/SIA, de 08/11/2018;16/07/2021
9PGI;FPSO CIDADE DE ANCHIETA;12.800;22,20;PORTARIA VÁLIDA;3037/SIA, de 01/10/2018;19/07/2021
9PMN;PETROBRAS 69;12.800;22,20;PORTARIA VÁLIDA;2997/SIA, de 26/09/2018;19/07/2021
9PGJ;AMARALINA STAR;12.800;22,20;PORTARIA VÁLIDA;3039/SIA, de 01/10/2018;26/07/2021
9PAZ;ATLANTIC ZEPHYR ;6.800;16,66;PORTARIA VÁLIDA;2998/SIA, de 26/09/2018;03/08/2021
9PBA;SKANDI ACHIEVER;12.800;20,88;PORTARIA VÁLIDA;3702/SIA, de 04/12/2018;05/08/2021
9PAP;PETROBRAS 47 P-47;12.800;20,88;PORTARIA VÁLIDA;2996/SIA, de 26/09/2018;07/08/2021
9PPU;PETROBRAS 75 P-75;12.800;22,20;PORTARIA VÁLIDA;1602/SIA, de 22/06/2020;15/08/2021
9PSN;SAPURA ONIX;12.800;20,88;PORTARIA VÁLIDA;0179/SIA, de 17/01/2019;22/08/2021
9PTT;ATLANTIC STAR;12.800;20,88;PORTARIA VÁLIDA;3536/SIA, de 01/12/2020;28/08/2021
9PRE;PETROBRAS 76 P-76 ;12.800;22,20;PORTARIA VÁLIDA;1604/SIA, de 23/06/2020;30/08/2021
9PGM;FPSO POLVO;5.300;16,00;PORTARIA VÁLIDA;575/SIA, de 28/02/2020;30/08/2021
9PCV;FPSO CIDADE DE VITÓRIA;9.300;19,50;PORTARIA VÁLIDA;665/SIA, de 09/03/2020;04/09/2021
9PTY;PETROBRAS 77 P-77;12.800;22,20;PORTARIA VÁLIDA;1611/SIA, de 24/06/2020;10/09/2021
9PBZ;PETROBRAS 57 P-57 ;12.900;22,22;PORTARIA VÁLIDA;3095/SIA, DE 02/10/2019;18/09/2021
9PGQ;LAGUNA STAR-NS44;12.800;22,20;PORTARIA VÁLIDA;631/SIA, de 05/03/2020;25/09/2021
9PBE;CIDADE DE ANGRA DOS REIS MV 22;12.800;20,88;PORTARIA VÁLIDA;603/SIA, de 04/03/2020;27/09/2021
9PSQ;CURIMÃ 1;6.000;17,46;PORTARIA VÁLIDA;2856/SIA, de 11/09/2019;04/10/2021
9PBQ;DYNAMIC PRODUCER;12.800;22,20;PORTARIA VÁLIDA;2987/SIA, de 26/10/2020;18/10/2021
9PVG;VANTAGE ;12.800;16,66;PORTARIA VÁLIDA;0456/SIA, de 11/02/2019;21/10/2021
9PGR;FPSO CIDADE DE SÃO PAULO MV 23;12.800;20,88;PORTARIA VÁLIDA;572/SIA, 28/02/2020 ;24/10/2021
9PET;PETROBRAS 53 P-53;12.800;22,20;PORTARIA VÁLIDA;2900/SIA, de 30/09/2019;25/10/2021
9PVK;SUBSEA VIKING ;9.300;19,50;PORTARIA VÁLIDA;3628/SIA, de 08/12/2020;07/11/2021
9PGK;FPSO CIDADE DE ITAJAÍ;12.800;22,20;PORTARIA VÁLIDA;2993/SIA, de 26/10/2020;13/11/2021
9PSL;PETROBRAS 07;9.300;16,66;PORTARIA VÁLIDA;627/SIA, de 05/03/2020;04/12/2021
9PTS;PETROBRAS 19 P-19;12.800;17,00;PORTARIA VÁLIDA;2939/SIA, de 18/09/2019;08/01/2022
9PJF;POSH XANADÚ;12.800;22,20;PORTARIA VÁLIDA;0480/SIA, de 13/02/2019;15/01/2022
9PVB;PETROBRAS 54 P-54;12.800;22,20;PORTARIA VÁLIDA;3097/SIA, de 02/10/2019;16/01/2022
9PON;SKANDI OLINDA ;12.800;20,88;PORTARIA VÁLIDA;2233/SIA, de 23/07/2019;27/01/2022
9PJR;FPSO CIDADE DE MARICÁ;12.800;22,20;PORTARIA VÁLIDA;3684/SIA, de 27/11/2019;31/01/2022
9PPH;PLATAFORMA DE CHERNE 2 PCH-2;13.000;16,00;PORTARIA VÁLIDA;3087/SIA, de 02/10/2019;06/02/2022
9PCR;CARAPEBA 1;12.800;16,00;PORTARIA VÁLIDA;3650/SIA, de 25/11/2019;08/02/2022
9PCD;FPSO PEREGRINO;12.800;20,88;PORTARIA VÁLIDA;3678/SIA,de 27/11/2019;14/02/2022
9PVR;HOS ACHIEVER;12.800;22,20;PORTARIA VÁLIDA;2045/SIA, de 04/07 2019;20/02/2022
9PSV;SEVEN RIO;12.800;22,20;PORTARIA VÁLIDA;2914/SIA, 17/09/2019;22/02/2022
9PAY;NAMORADO I - PNA-1;12.900;20,88;PORTARIA VÁLIDA;3647/SIA, de 25/11/2019;26/02/2022
9PSE;SAPURA ESMERALDA;12.800;22,20;PORTARIA VÁLIDA;667/SIA, de 09/03/2020;27/02/2022
9PBV;PETROBRAS 26;12.000;19,50;PORTARIA VÁLIDA;3651/SIA, de 25/11/2019;27/02/2022
9PHF;FPSO CIDADE DE PARATY;12.900;22,20;PORTARIA VÁLIDA;3683/SIA, de 27/11/2019;12/03/2022
9PCH;CHERNE 1 PCH-1;12.800;20,88;PORTARIA VÁLIDA;601/SIA, de 04/03/2020;14/03/2022
9PDL;ALPHA STAR;12.800;22,20;PORTARIA VÁLIDA;699/SIA, de 11/03/2020;19/03/2022
9PSJ;SAPURA JADE;12.800;22,20;PORTARIA VÁLIDA;592/SIA, de 03/03/2020;20/03/2022
9PDJ;NORBE VIII;13.000;22,20;PORTARIA VÁLIDA;2490/SIA, de 15/08/2019;27/03/2022
9PQU;PETROBRAS 40;12.800;22,20;PORTARIA VÁLIDA;3680/SIA, de 27/11/2019;04/04/2022
9PCY;PETROBRAS 10000 NS31;21.300;22,80;PORTARIA VÁLIDA;2765/SIA, de 05/09/2019;09/04/2022
9PTB;PETROBRAS 52 P-52;12.800;22,20;PORTARIA VÁLIDA;2872/SIA, de 11/04/2022;11/04/2022
9PCO;VITORIA 10000;21.300;20,88;PORTARIA VÁLIDA;2894/SIA, de 30/09/2019;12/04/2022
9PDV;NORBE IX;12.800;22,20;PORTARIA VÁLIDA;1925/SIA, de 25/06/2019;16/04/2022
9PPQ;PETROBRAS 38;12.900;22,20;PORTARIA VÁLIDA;3096/SIA, de 02/10/2019;17/04/2022
9PYE;ENSCO DS-9;14.600;22,20;PORTARIA VÁLIDA;2852/SIA, de 11/09/2019;03/05/2022
9PFO;PETROBRAS 32 P-32;12.800;20,88;PORTARIA VÁLIDA;2880/SIA, de 16/09/19;03/05/2022
9PRT;PETROBRAS 50 P-50;12.800;22,20;PORTARIA VÁLIDA;3837/SIA, 11/12/2019;07/05/2022
9PDH;SAFE CONCORDIA;12.800;20,88;PORTARIA VÁLIDA;3430/SIA, de 05/11/2019;09/05/2022
9PRG;HOS BRASS RING;12.800;20,88;PORTARIA VÁLIDA;3265/SIA, 21/10/2019;16/05/2022
9PPK;PESCADA 1A;3.000;13,05;PORTARIA VÁLIDA;3543/SIA, de 01/12/2020;21/05/2022
9PSB;FPSO CIDADE DE SAQUAREMA;12.800;22,20;PORTARIA VÁLIDA;618/SIA, de 05/ 03/2020;25/05/2022
9PHJ;MOP-1;7.000;17,50;PORTARIA VÁLIDA;2757/SIA, de 04/09/2019;03/06/2022
9PDS;PETROBRAS 56;12.800;22,20;PORTARIA VÁLIDA;3664/SIA, de 26/11/2019;05/06/2022
9PHH;WYATT CANDIES;5.300;16,00;PORTARIA VÁLIDA;2941/SIA, de 18/09/2019;05/06/2022
9PLC;GEO CARIBBEAN;12.800;19,50;PORTARIA VÁLIDA;3704/SIA, 14/12/2020;14/06/2022
9PCX;CAPIXABA CAPX;9.300;22,20;PORTARIA VÁLIDA;3692/SIA, de 28/11/2019;25/06/2022
9PHD;PETROBRAS 63;12.800;22,20;PORTARIA VÁLIDA;3658/SIA, de 26/11/2019;03/07/2022
9PJT;FPSO CIDADE DE CARAGUATATUBA MV27;12.800;22,20;PORTARIA VÁLIDA;3696/SIA, de 28/11/2019;03/07/2022
9PDX;CENTRAL DE ENCHOVA 1 PCE-1;11.200;19,50;PORTARIA VÁLIDA;2758/SIA, de 04/09/2019;04/07/2022
9PCZ;NORBE VI;12.800;22,20;PORTARIA VÁLIDA;3302/SIA, de 23/10/2019;02/08/2022
9PMO;PETROBRAS 68 P-68;12.800;22,20;PORTARIA VÁLIDA;3487/SIA, 08/11/2019;02/08/2022
9PLP;LOCAR PIPE;7.400;18,00;PORTARIA VÁLIDA;3431/SIA, de 05/11/2019;15/08/2022
9PRU;SAPURA RUBI;12.800;22,20;PORTARIA VÁLIDA;3254/SIA, 18/10/2019;19/08/2022
9PVD;PETROBRAS 55;12.800;20,88;PORTARIA VÁLIDA;3679/SIA, de 27/11/2019;21/08/2022
9PHK;FPSO OSX 3;12.800;20,88;PORTARIA VÁLIDA;3300/SIA, de 23/10/2019;29/08/2022
9PEZ;DEEPWATER MYKONOS;21.300;22,20;PORTARIA VÁLIDA;3417/SIA, de 04/11/2019;11/09/2022
9PFJ;DEEPWATER CORCOVADO;21.300;22,20;PORTARIA VÁLIDA;3226/SIA, 16/10/2019;12/09/2022
9PHP;PETROBRAS 61;12.800;22,20;PORTARIA VÁLIDA;3491/SIA, de 08/11/2019 ;24/09/2022
9PKS;SKANDI AÇU;12.800;20,88;PORTARIA VÁLIDA;3286/SIA, de 22/10/2019;24/09/2022
9PFL;FPSO FLUMINENSE;10.000;19,50;PORTARIA VÁLIDA;3292/SIA, de 23/10/19;26/09/2022
9PHT;PETROBRAS 58;12.800;22,20;PORTARIA VÁLIDA;3621/SIA, de 21/11/2019;01/10/2022
9PSH;SIEM HELIX I;15.000;22,20;PORTARIA VÁLIDA;3242/SIA, de 17/10/2019;09/10/2022
9PES;PETROBRAS 08;12.800;22,00;PORTARIA VÁLIDA; 3697/SIA, de 28/11/2019;16/10/2022
9PDB;DEEP BLUE;9.300;16,66;PORTARIA VÁLIDA;0336/SIA, de 25/10/2019;23/10/2022
9PBB;PETROBRAS 20 P-20;12.800;20,88;PORTARIA VÁLIDA;3293/SIA, de 23/10/2019;23/10/2022
9PEO;PETROBRAS 51;12.800;22,20;PORTARIA VÁLIDA;3673/SIA, de 26/11/2019;31/10/2022
9PUR;SAFE EURUS;12.800;22,20;PORTARIA VÁLIDA;3416/SIA, de 04/11/2019;07/11/2022
9PGS;GOLD STAR;12.800;22,20;PORTARIA VÁLIDA;3445/SIA, de 06/11/2019;08/11/2022
9PHI;AQUARIUS BRASIL;12.800;22,20;PORTARIA VÁLIDA;3442/SIA, de 06/11/2019;11/11/2022
9PHU;FPSO PETROBRAS 62;12.800;20,88;PORTARIA VÁLIDA;3448/SIA, de 06/11/2019  ;13/11/2022
9PVN;SEVEN SUN;12.800;22,20;PORTARIA VÁLIDA;3557/SIA, de 14/11/2019;19/11/2022
9PNZ;PETROBRAS 70;12.800;22,20;PORTARIA VÁLIDA;409/SIA, de 10/02/2020;21/11/2022
9PFQ;PETROBRAS 31 P-31;12.800;19,50;PORTARIA VÁLIDA;3455/SIA, de 06/11/2019;26/11/2022
9PBP;SEVEN SEAS;12.000;22,20;PORTARIA VÁLIDA;3567/SIA, de 18/11/2019;03/12/2022
9PRB;PETROBRAS 66;12.800;22,20;PORTARIA VÁLIDA;3449/SIA, de 06/11/2019;07/12/2022
9PSY;SAFE NOTOS;12.800;22,20;PORTARIA VÁLIDA;3661/SIA, de 26/11/2019;22/12/2022
9PCF;LONE STAR;12.800;20,88;PORTARIA VÁLIDA;0093/SIA, de 14/01/2020;17/01/2023
9PZR;SEVEN CRUZEIRO;12.800;22,20;PORTARIA VÁLIDA;635/SIA, de 05/03/2020;21/01/2023
9PFR;PETROBRAS 33;12.800;20,88;PORTARIA VÁLIDA;343/SIA, de 05/02/2020;27/01/2023
9PIF;UBARANA-3;5.000;13,00;PORTARIA VÁLIDA;636/SIA, de 05/03/2020;06/02/2023
9PHW;ISLAND ENFORCER ;12.800;20,88;PORTARIA VÁLIDA;453/SIA, de 14/02/2020;14/02/2023
9PRN;RAMFORM TITAN ;16.000;20,88;PORTARIA VÁLIDA;332/SIA, de 04/02/2020;19/02/2023
9PII;OLYMPIA;12.800;20,88;PORTARIA VÁLIDA;740/SIA, de 16/03/2020;20/02/2023
9PLI;PIONEIRO DE LIBRA;12.800;22,20;PORTARIA VÁLIDA;0338/SIA, de 04/02/2020;20/02/2023
9PVL;VERMELHO 3;12.800;22,20;PORTARIA VÁLIDA;1100/SIA, 17/04/20;04/03/2023
9PCP;CARAPEBA 2;12.800;20,88;PORTARIA VÁLIDA;576/SIA, 28/02/2020;08/03/2023
9PHY;BASSDRILL BETA;15.600;22,80;PORTARIA VÁLIDA;559/SIA, de 27/02/20;24/03/2023
9PKB;SKANDI BUZIOS;12.800;20,88;PORTARIA VÁLIDA;828/SIA, de 23/03/2020;28/03/2023
9PVE;VERMELHO 1;12.800;22,20;PORTARIA VÁLIDA;1042/SIA, de 14/04/2020;09/04/2023
9PVM;VERMELHO 2;12.800;22,20;PORTARIA VÁLIDA;1043/SIA, de 14/04/2020;09/04/2023
9PFD;FPSO FRADE;9.300;19,50;PORTARIA VÁLIDA;2142/SIA, de 21/08/2020;11/04/2023
9PNC;PEREGRINO C;7.000;16,63;PORTARIA VÁLIDA;2147/SIA, de 21/08/2020;14/04/2023
9PCN;FPSO CIDADE DE NITERÓI MV 18;12.900;20,88;PORTARIA VÁLIDA; 2139/SIA, de 21/08/2020;20/04/2023
9PIA;FAR SAGA;9.300;16,66;PORTARIA VÁLIDA;2140/SIA, de  21/08/2020;21/04/2023
9PJW;DVL 2000;12.600;22,20;PORTARIA VÁLIDA;1132/SIA, 24/04/2020;24/04/2023
9PRZ;PETROBRAS 18;12.800;20,88;PORTARIA VÁLIDA;2143/SIA, de 21/08/2020;27/04/2023
9PTA;ATUM-3;5.400;17,00;PORTARIA VÁLIDA;2146/SIA, de  21/08/2020;11/05/2023
9PEN;FPSO ESPÍRITO SANTO;8.600;18,70;PORTARIA VÁLIDA;2141/SIA, de 21/08/2020;23/05/2023
9PJX;OCEANIC SIRIUS;12.800;20,88;PORTARIA VÁLIDA;1699/SIA, de 06/07/2020;02/07/2023
9PVC;FPSO BV CIDADE DE SÃO VICENTE;12.800;20,88;PORTARIA VÁLIDA;2138/SIA, de 21/08/2020;06/07/2023
9PIH;SEVEN WAVES;12.800;22,20;PORTARIA VÁLIDA;1943/SIA, de 30/07/2020;09/08/2023
9PER;PLATAFORMA DE PEROÁ PPER-1;7.000;17,55;PORTARIA VÁLIDA;1940/SIA, de 30/07/2020;10/08/2023
9PPX;XARÉU 1;5.080;15,00;PORTARIA VÁLIDA;2000/SIA, de 10/08/2020;10/08/2023
9PQZ;FPSO CIDADE DE CAMPOS DOS GOYTACAZES MV29;12.800;22,20;PORTARIA VÁLIDA;2033/SIA, de 12/08/2020;21/08/2023
9PLN;POLARCUS NAILA;12.100;20,88;PORTARIA VÁLIDA;2132/SIA, de 21/08/2020;06/09/2023
9PEB;SKANDI NITERÓI;12.800;20,88;PORTARIA VÁLIDA;3253/SIA, 12/11/2020;17/09/2023
9PPR;PARGO 1 (PPG-1);12.800;21,60;PORTARIA VÁLIDA;2515/SIA, de 25/09/2020;18/09/2023
9PIX;SAPURA TOPÁZIO;12.800;22,20;PORTARIA VÁLIDA;2443/SIA, de 17/09/2020;20/09/2023
9PTJ;PETROJARL 1;12.800;22,20;PORTARIA VÁLIDA;2555/SIA, de 30/09/2020;25/09/2023
9PEH;CAROLINA;12.800;22,20;PORTARIA VÁLIDA;2551/SIA, 30/09/2020;25/09/2023
9PIV;FPSO CIDADE DE MANGARATIBA MV 24;12.800;20,88;PORTARIA VÁLIDA;2519/SIA, de 25/09/2020;30/09/2023
9PIT;FPSO CIDADE DE ILHABELA;12.900;22,20;PORTARIA VÁLIDA;2522/SIA, de 25/09/2020;30/09/2023
9PXL;SIEM HELIX 2;15.000;22,20;PORTARIA VÁLIDA;2988/SIA, de 26/10/2020;09/10/2023
9PSU;SKANDI SALVADOR;12.800;20,88;PORTARIA VÁLIDA;3323/SIA, de 17/11/2020;15/10/2023
9PIN;SAPURA DIAMANTE ;12.800;22,20;PORTARIA VÁLIDA;2882/SIA, de 16/10/2020;22/10/2023
9PPP;PAMPO-1 (PPM-1);11.200;21,20;PORTARIA VÁLIDA;3105/SIA, de 03/11/2020;27/10/2023
9PPZ;PETROBRAS 48;12.800;22,20;PORTARIA VÁLIDA;3316/SIA, de 17/11/2020;05/11/2023
9PPF;PETROBRAS 35;12.800;20,88;PORTARIA VÁLIDA;3325/SIA, de 17/11/2020;12/11/2023
9PAW;PETROBRAS-15;5.300;19,60;PORTARIA VÁLIDA;3320/SIA, de 17/11/2020;24/11/2023
9PUV;UMS VENUS;12.800;20,88;PORTARIA VÁLIDA;3296/SIA, de 17/11/2020;25/11/2023
9PIZ;TOP CORAL DO ATLANTICO;12.800;22,20;PORTARIA VÁLIDA;3541/SIA, de 01/12/2020;04/12/2023
9PMM;MANATI 1 (PMNT-1);5.100;17,46;PORTARIA VÁLIDA;3532/SIA, de 01/12/2020;06/12/2023
9PSO;PETROBRAS 12;10.400;17,00;PORTARIA VÁLIDA;3525/SIA, 01/12/2020;19/12/2023
9PCC;FSO CIDADE DE MACAÉ MV-15;9.300;20,88;PORTARIA VÁLIDA;3633/SIA, 08/12/2020;20/12/2023
9PSD;PETROBRAS 65 (P-65);9.000;18,70;PORTARIA VÁLIDA;3695/SIA, de 14/12/2020;05/01/2024
9PUB;PLATAFORMA DE UBARANA-02 - PUB-02;3.000;13,00;PORTARIA VÁLIDA;3693/SIA, de 14/12/2020;05/01/2024
9PCM;PLATAFORMA DE CAMORIM 9 - PCM-9;6.000;16,00;PORTARIA VÁLIDA;3534/SIA, de 01/12/2020;05/01/2024
9PPD;PETROBRAS 43 (P-43);12.800;22,20;PORTARIA VÁLIDA;3523/SIA, de 01/12/2020;09/01/2024
